CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4931,2020,14241,4847,,,,,,,0,19,0,14241,4828,0,6107,2489,0,5580,2427,0,527,61,0,,,,,3628379,,,,,,,,,140730,,176202,4858137,317088,,,1387995,168406,,10559,112025,,1942812,,,,27542,4749140,,,,,,,642538,33823806,212953,381078,0,17638492,35049140,3078816,2599496,1783898,Cifras definitivas
4811,2021,13578,9960,10532,8164,39356,3046,1796,8087,0,0,0,,,47443,737,586,2896,732,585,2886,5,1,10,,,,,14130450,,,6602159,3252905,1636528,2558271,80587,486741,39948851,6195506,,2866384,12278,7548753,546322,2337072,1333,189133,214613,1986840,8426982,,54066,163453,0,,19997591,111719350,8979159,34089,969503,0,0,20564949,,,,,17154699,552981,42564,53088,1978866,Cifras definitivas
4812,2021,1616,384,1265,260,4047,293,83,934,58,41,145,,,5126,691,275,2739,669,266,2618,22,9,121,,,,,1253186,,,968831,193101,65325,22993,2936,432,1803495,1595664,,57606,6133,136987,176135,212618,4294,15607,26477,36868,122918,,20131,123121,0,,1513489,11231924,3071081,110931,262261,8416,63,546946,,,,,21708811,612845,963306,145288,222928,Cifras definitivas
4821,2021,12135,1553,10765,38,31327,1370,1515,8179,0,0,0,,,39506,196,23,633,195,23,631,1,0,2,,,,,7843932,,,3795971,1126006,1409363,375255,1137337,75819,11161548,3311446,,2635260,107556,5194847,229420,3102575,190,476322,26380,181048,59187,,7410,694494,2299,,4406248,133809,70122531,0,32020,17833,115835,2098211,,,,,15521154,19863048,1419190,1296427,43453291,Cifras definitivas
4841,2021,159507,21748,127408,2643,339527,30359,18856,120827,1740,248,4549,,,464904,10492,2437,30927,7330,2171,23046,3162,266,7881,,,,,40734681,,,23312156,8607324,6970667,615050,1229484,234254,61588849,14060443,,965527,491924,6581456,2589799,1540617,233201,606739,154898,796139,12247814,,338966,5203437,36552,,11777537,0,203252233,10053,2059280,102436,2320936,2464649,,,,,131018511,12270208,3927295,12940951,2273163,Cifras definitivas
4842,2021,83919,13300,64907,2097,166924,17349,10996,69261,1662,208,4416,,,240601,9255,1280,26779,8353,915,24144,902,365,2636,,,,,21216643,,,12495894,5362797,2759257,212606,386090,169277,45198306,10537929,,3000253,145915,13526289,1692855,1728359,225037,815361,91862,472717,10127727,,244499,3400605,6399,,13820848,0,143940349,0,409147,61781,367706,1473456,,,,,113981054,8804154,20974744,2332441,3413952,Cifras definitivas
4851,2021,92004,8767,76634,3090,216355,8979,5060,38949,6391,617,19478,,,274782,13093,489,38923,1351,303,4381,11742,185,34542,,,,,13383965,,,9712281,1866651,1500187,293633,11213,355852,18173082,4317324,,223897,247020,320693,419652,314565,694959,167076,40139,177770,357792,,153990,568389,5057,,4576087,54644890,0,0,444486,76402,89,675816,,,,,108273506,5059761,446740,1683326,735055,Cifras definitivas
4852,2021,34005,9168,28880,4903,93959,5053,4252,24323,72,13,187,,,118469,1094,258,3546,427,232,1810,667,26,1736,,,,,9260370,,,6599050,1159830,1240903,143586,117001,151029,9327624,2451901,,348412,133645,220845,286505,38259,70593,244184,70769,205415,1506338,,43807,170825,220,,3282635,29353240,0,886789,374964,23930,547,2373815,,,,,48172077,4300868,332194,1011363,1114008,Cifras definitivas
4854,2021,21238,3100,20271,2187,55600,781,872,4324,186,41,510,,,60434,1153,12,3079,1133,7,3015,20,4,64,,,,,3355482,,,2964920,159577,203490,14170,13325,43487,4908058,1126574,,51335,120268,899145,139555,40167,2424,186047,31816,73312,65368,,38563,151587,1888,,1141550,17528620,0,0,191720,1706,2633,189005,,,,,18545247,1045288,271195,869826,117994,Cifras definitivas
4881,2021,27924,9536,,,,,,,45,33,0,27879,9503,0,1946,550,0,1822,485,0,124,65,0,,,,,8947887,,,,,,,,,698419,,9309,7500029,748439,,,150893,23208,,57070,208366,,1540249,,,,411765,13472515,,,,,,,3132611,72835780,8290939,17391,4301,10955994,12837671,1082283,2172837,20599779,Cifras definitivas
